*ELEMENT, TYPE=C3D4
1701, 379, 379, 2533, 2151, 2583
2392, 380, 380, 579, 520, 22
18, 381, 381, 5277, 5278, 5352
5156, 382, 382, 541, 515, 545
17, 383, 383, 1154, 492, 1117
1232, 384, 384, 62, 67, 610
85, 385, 385, 485, 362, 437
1013, 386, 386, 2585, 2471, 2357
2814, 387, 387, 757, 702, 128
759, 388, 388, 1110, 1444, 1317
1148, 389, 389, 987, 1053, 974
395, 390, 390, 641, 579, 584
64, 391, 391, 359, 319, 349
974, 392, 392, 2693, 3129, 3135
2973, 393, 393, 4385, 4521, 4595
4419, 394, 394, 3621, 3877, 3779
3777, 395, 395, 2487, 2722, 2780
2639, 396, 396, 2006, 2155, 1950
2245, 397, 397, 837, 628, 1353
826, 398, 398, 3754, 4022, 4012
3712, 399, 399, 3592, 3462, 3441
3318, 400, 400, 5184, 5353, 5093
5351, 401, 401, 1641, 1716, 1750
1290, 402, 402, 2720, 2597, 2953
2683, 403, 403, 719, 638, 1231
1303, 404, 404, 5868, 5657, 5919
5751, 405, 405, 4271, 4117, 4178
4047, 406, 406, 6414, 6402, 6373
6495, 407, 407, 5442, 5313, 5584
5502, 408, 408, 2407, 2464, 2743
2567, 409, 409, 9180, 9315, 9515
9488, 410, 410, 4142, 4267, 4254
4115, 411, 411, 1814, 1333, 1360
1478, 412, 412, 1506, 928, 1381
1430, 413, 413, 9329, 9145, 9271
9493, 414, 414, 3835, 3834, 3962
4000, 415, 415, 6370, 6233, 6114
6134, 416, 416, 2155, 2453, 1950
2245, 417, 417, 6697, 6449, 6584
6503, 418, 418, 355, 390, 919
325, 419, 419, 4192, 4185, 4253
3932, 420, 420, 6384, 6421, 6636
6506, 421, 421, 7284, 7162, 7053
7095, 422, 422, 9432, 9114, 9278
9349, 423, 423, 8344, 8498, 8616
8383, 424, 424, 2129, 2222, 2057
2325, 425, 425, 2394, 2616, 2416
2486, 426, 426, 8893, 8751, 8966
8694, 427, 427, 8008, 7889, 7867
8164, 428, 428, 2492, 2426, 2777
2439, 429, 429, 9026, 9156, 9202
8877, 430, 430, 2576, 2360, 2685
2686, 431, 431, 814, 256, 900
777, 432, 432, 576, 577, 46
594, 433, 433, 349, 307, 906
974, 434, 434, 2895, 2966, 3171
3113, 435, 435, 3461, 3163, 3520
3289, 436, 436, 1092, 1459, 1041
952, 437, 437, 7556, 7465, 7369
7325, 438, 438, 1639, 1485, 1040
1212, 439, 439, 6113, 6063, 6294
6004, 440, 440, 1219, 465, 628
471, 441, 441, 2763, 3034, 3022
3142, 442, 442, 2212, 2492, 2480
2439, 443, 443, 4066, 4179, 4246
4157, 444, 444, 306, 856, 232
893, 445, 445, 6285, 6183, 6328
6312, 446, 446, 3741, 3429, 3595
3570, 447, 447, 1419, 1000, 1545
1045, 448, 448, 4502, 4501, 4539
4377, 449, 449, 3448, 3433, 3508
3573, 450, 450, 3334, 3232, 2880
3019, 451, 451, 4019, 4102, 4148
4322, 452, 452, 1696, 1533, 1939
2051, 453, 453, 2068, 2352, 2174
1865, 454, 454, 3033, 3064, 2894
2893, 455, 455, 833, 936, 753
1369, 456, 456, 55, 52, 46
594, 457, 457, 2556, 2373, 2056
2203, 458, 458, 745, 563, 1310
648, 459, 459, 4490, 4491, 4677
4631, 460, 460, 6882, 7050, 7143
6821, 461, 461, 2410, 2547, 2571
2308, 462, 462, 4547, 4729, 4413
4635, 463, 463, 1088, 1172, 496
453, 464, 464, 622, 592, 75
101, 465, 465, 1231, 638, 603
534, 466, 466, 2570, 2834, 2629
2428, 467, 467, 1590, 1643, 1798
1358, 468, 468, 45, 590, 588
585, 469, 469, 87, 702, 128
599, 470, 470, 5545, 5547, 5479
5420, 471, 471, 3277, 3139, 3530
3403, 472, 472, 1873, 1392, 1588
1439, 473, 473, 2965, 2823, 2937
3208, 474, 474, 3962, 4100, 3963
4151, 475, 475, 4762, 4817, 4853
4895, 476, 476, 1007, 960, 327
377, 477, 477, 739, 672, 607
1244, 478, 478, 4770, 4640, 4550
4826, 479, 479, 3378, 3111, 3019
3197, 480, 480, 3957, 3832, 3956
4129, 481, 481, 4864, 4865, 4987
4765, 482, 482, 871, 797, 1389
745, 483, 483, 2958, 2852, 2641
2575, 484, 484, 1684, 1227, 1672
1177, 485, 485, 1185, 685, 1199
543, 486, 486, 2930, 2973, 2601
2534, 487, 487, 5836, 6099, 5937
5956, 488, 488, 1519, 1658, 1159
1581, 489, 489, 3167, 3166, 3363
3030, 490, 490, 7867, 7889, 7764
8053, 491, 491, 5346, 5455, 5285
5133, 492, 492, 2576, 2334, 2156
2256, 493, 493, 5253, 5069, 5354
5206, 494, 494, 3060, 2715, 3135
